group,s_alleles
I,S1 S2
II,S1 S3
III,S3 S4
IV,S2 S3
V,S4 S5
VI,S3 S6
VII,S3 S5
VIII,S2 S5
IX,S1 S4
X,S6 S9
XI,S2 S7
XII,S6 S13
XIII,S2 S4
XIV,S1 S5
XV,S5 S6
XVI,S3 S9
XVII,S4 S6
XVIII,S1 S9
XIX,S3 S13
XX,S1 S6
XXI,S4 S9
XXII,S3 S12
XXIII,S3 S16
XXIV,S6 S12
XXV,S2 S6
XXVI,S5 S13
XXVII,S4 S12
XXVIII,S1 S7
XXIX,S4 S7
XXX,S6 S7
XXXI,S4 S14
XXXII,S1 S12
XXXIII,S1 S14
XXXIV,S3 S14
XXXV,S5 S14
XXXVI,S7 S19
XXXVII,S5 S9
XXXVIII,S3 S22
XXXIX,S6 S16
XL,S6 S22
XLI,S12 S22
XLII,S2 S10
XLIII,S2 S9
XLIV,S3 S7
XLV,S4 S13
XLVI,S3 S24
XLVII,S6 S24
XLVIII,S6 S10
XLIX,S3 S10
L,S6 S14
LI,S1 S13
LII,S16 S22
LIII,S2 S18
LIV,S21 S22
LV,S9 S13
LVI,S3S21
LVII,S7S14
LVIII,S13S22
LIX,S12S16
LX,S13S16
LXI,S2S16
LXII,S14S16
LXIII,S2S13
