"var","ta_q","sweetness_q","firmness_q","wt_q","freestone_q","pm_q","skin_mahogany_q","flesh_color"
"ambrunes",3,3,5,1,1,4,2,"vitt"
"benton",5,4,3,4,2,2,4,"orange"
"bing",4,5,4,3,5,4,5,"rött"
"black_republican",3,2,5,1,3,3,5,"rött"
"cashmere",2,5,3,3,5,4,4,"mörkrött"
"chelan",5,4,4,3,5,1,5,"mörkrött"
"chinook",1,1,1,1,4,4,1,"rött"
"cowiche",5,5,3,5,1,1,5,"rött"
"emperor_francis",5,3,5,1,1,3,NA,"vitt"
"gil_peck",NA,2,2,3,1,5,1,"rött"
"glacier",4,3,1,5,2,4,4,"rött"
"index",4,5,4,3,3,3,1,"orange"
"kiona",2,5,2,5,3,4,4,"rött"
"kordia",5,2,2,4,1,3,4,"orange"
"krupnoplidna",1,5,3,5,3,2,2,"rött"
"lambert",1,4,4,2,2,3,1,"orange"
"lapins",1,3,5,4,4,2,1,"orange"
"moreau",4,4,1,2,3,1,5,"mörkrött"
"olympus",2,2,NA,5,4,NA,NA,NA
"rainier",4,5,2,4,1,5,NA,"vitt"
"regina",3,2,4,4,4,1,4,"orange"
"schmidt",3,3,5,1,3,5,3,"rosa"
"schneiders_spate_knorpelkirsche",1,1,4,1,2,2,2,"rosa"
"selah",2,4,1,5,1,5,2,"orange"
"stella",4,1,3,2,5,5,1,"orange"
"summit",1,3,1,5,5,2,3,"orange"
"sunburst",3,1,2,3,2,1,2,"orange"
"sweetheart",5,2,5,3,5,5,2,"rosa"
"tieton",1,4,1,4,4,2,5,"rött"
"van",5,1,5,2,4,3,1,"rosa"
"venus",3,3,1,2,2,1,NA,"rosa"
"vic",1,1,2,2,3,1,3,"rosa"
"windsor",2,1,3,1,5,5,3,"rosa"
